Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Astra,Controller,0.94,13.3,14.1,4.9,51.4,0.8,194,0.1,1055
2,Gekko,Initiator,0.87,12.8,14.7,4.8,50.5,3.6,186,0.1,4573
3,Killjoy,Sentinel,0.9,12.7,14.1,4.2,50.5,5.9,186,0.2,7509
4,Sage,Sentinel,0.81,11.7,14.4,6.8,50.4,14.0,171,0.1,17876
5,Cypher,Sentinel,0.92,13,14.1,5.1,49.9,3.2,186,0.2,4042
6,Brimstone,Controller,0.9,13,14.6,6.5,49.8,4.1,194,0.1,5270
7,Raze,Duelist,0.94,14.2,15.1,5.1,49.4,7.7,216,0.1,9848
8,Reyna,Duelist,1.02,15.4,15.1,4.7,49.1,10.9,224,0.1,13946
9,Fade,Initiator,0.81,12,14.8,5.8,48.9,4.9,177,0.1,6224
10,Viper,Controller,0.86,12.6,14.5,5,48.5,4.4,184,0.2,5558
11,Omen,Controller,0.9,13.4,14.9,5.1,48.5,6.3,194,0.1,8068
12,Jett,Duelist,0.94,14.4,15.3,4.1,48.2,5.9,210,0.1,7507
13,KAY/O,Initiator,0.81,12.3,15.1,7.9,48.1,3.4,185,0.1,4316
14,Skye,Initiator,0.81,12,14.7,7.2,48.1,4.1,178,0.1,5243
15,Phoenix,Duelist,0.95,14.2,15,4.5,47.9,4.3,209,0.1,5461
16,Chamber,Sentinel,0.92,13.6,14.7,3.7,47.5,1.8,195,0.1,2295
17,Breach,Initiator,0.89,13.4,15.1,5.6,47.4,1.6,194,0.1,2053
18,Harbor,Controller,0.83,12.4,14.9,5.2,46.7,1.3,180,0.1,1635
19,Sova,Initiator,0.85,12.4,14.7,5.1,46.7,3.9,184,0.1,5000
20,Neon,Duelist,0.88,13.7,15.6,4.1,45.5,3.8,201,0.1,4839
21,Yoru,Duelist,0.88,13.4,15.2,4.2,44.1,4.1,194,0.1,5200
